node_a,node_b,node_name,intersection,N,S,E,W
505 East Green Street,East Green Street,505 East Green Street-East Green Street,"40.110248,-88.231486",,,East Green Street-S 6th Street,East Green Street-S 5th Street
507 East Daniel Street,East Daniel Street,507 East Daniel Street-East Daniel Street,"40.107933, -88.231398",,,East Daniel Street-S 6th Street,East Daniel Street-S 5th Street
912 South Fifth Street,S 5th Street,912 South Fifth Street-S 5th Street,"40.107009,-88.231953",East Daniel Street-S 5th Street,S 5th Street-East Chalmers Street,,
Altgeld Hall,S Wright Street,Altgeld Hall-S Wright Street,"40.109170,-88.228823",East Green Street-S Wright Street,East John Street-S Wright Street,,
Coble Hall,S Wright Street,Coble Hall-S Wright Street,"40.108768,-88.228893",East John Street-S Wright Street,East Daniel Street-S Wright Street,,
East Armory Ave,S 4th Street,East Armory Ave-S 4th Street,"40.1052515,-88.2332165",S 4th Street-East Chalmers Street,,,
East Armory Ave,S 5th Street,East Armory Ave-S 5th Street,"40.105406,-88.231968",S 5th Street-East Chalmers Street,,East Armory Ave-S 6th Street,East Armory Ave-S 4th Street
East Armory Ave,S 6th Street,East Armory Ave-S 6th Street,"40.105411,-88.230304",S 6th Street-East Chalmers Street,,East Armory Ave-S 5th Street,East Armory Ave-S Wright Street
East Armory Ave,S Wright Street,East Armory Ave-S Wright Street,"40.105503,-88.228827",S Wright Street-East Chalmers Street,,,East Armory Ave-S 6th Street
East Daniel Street,S 4th Street,East Daniel Street-S 4th Street,"40.107946,-88.233505",East John Street-S 4th Street,S 4th Street-East Chalmers Street,East Daniel Street-S 5th Street,
East Daniel Street,S 5th Street,East Daniel Street-S 5th Street,"40.107944,-88.232009",East John Street-S 5th Street,S 5th Street-East Chalmers Street,East Daniel Street-S 6th Street,East Daniel Street-S 4th Street
East Daniel Street,S 6th Street,East Daniel Street-S 6th Street,"40.107965,-88.230350",East John Street-S 6th Street,S 6th Street-East Chalmers Street,East Daniel Street-S Wright Street,East Daniel Street-S 5th Street
East Daniel Street,S Wright Street,East Daniel Street-S Wright Street,"40.107973,-88.228886",East John Street-S Wright Street,S Wright Street-East Chalmers Street,,East Daniel Street-S 6th Street
East Green Street,S 4th Street,East Green Street-S 4th Street,"40.110250,-88.233557",,East John Street-S 4th Street,East Green Street-S 5th Street,
East Green Street,S 5th Street,East Green Street-S 5th Street,"40.110268,-88.232079",,East John Street-S 5th Street,East Green Street-S 6th Street,East Green Street-S 4th Street
East Green Street,S 6th Street,East Green Street-S 6th Street,"40.110286,-88.230394",,East John Street-S 6th Street,East Green Street-S Wright Street,East Green Street-S 5th Street
East Green Street,S Wright Street,East Green Street-S Wright Street,"40.110290,-88.228875",,East John Street-S Wright Street,,East Green Street-S 6th Street
East John Street,S 4th Street,East John Street-S 4th Street,"40.105414,-88.233463",East Green Street-S 4th Street,East Daniel Street-S 4th Street,East John Street-S 5th Street,
East John Street,S 5th Street,East John Street-S 5th Street,"40.109063,-88.232024",East Green Street-S 5th Street,East Daniel Street-S 5th Street,East John Street-S 6th Street,East John Street-S 4th Street
